9,904,12,778.13,0
5,342,33,1995.01,0
7,786,23,1430.08,0
3,432,33,988.32,0
2,872,43,1606.24,0
10,427,36,2791.28,0
9,614,23,1792.83,0
4,725,27,2530.80,0
9,528,29,53.63,0
8,398,5,234.00,0
1,614,16,1247.18,0
8,595,36,1885.34,0
4,338,30,2041.47,0
10,198,21,737.59,0
8,724,26,1876.72,0
10,62,4,271.32,0
7,850,3,227.75,0
7,441,25,171.18,0
5,268,34,3364.08,0
1,730,19,665.27,0
8,89,40,1797.85,0
2,236,50,4750.86,0
9,362,28,411.08,0
4,986,10,564.04,0
6,280,15,799.15,0
5,82,10,224.46,0
7,625,11,1002.71,0
4,511,42,629.80,0
4,215,50,1475.67,0
9,191,25,1868.01,0
6,609,14,953.18,0
8,345,33,109.12,0
3,417,16,724.97,0
6,338,29,1973.42,0
9,648,28,984.72,0
10,847,22,456.30,0
7,752,35,1674.23,0
3,232,14,406.37,0
1,842,44,980.32,0
2,935,37,2265.55,0
5,399,9,738.99,0
2,801,17,927.80,0
9,15,22,217.10,0
3,218,48,1728.71,0
9,683,31,832.92,0
4,611,16,1557.38,0
2,761,50,3505.73,0
4,126,9,568.47,0
10,107,29,562.54,0
6,499,42,677.94,0
3,741,3,218.73,0
5,237,16,1162.87,0
3,423,16,945.40,0
8,749,42,1247.89,0
4,197,27,2060.54,0
10,230,36,3114.99,0
10,164,32,2612.87,0
5,136,24,694.22,0
4,672,27,1178.11,0
9,357,38,3500.13,0
10,703,21,417.21,0
9,944,19,1210.95,0
4,750,8,468.69,0
9,714,37,3197.28,0
8,791,38,1537.28,0
3,382,50,2364.87,0
6,373,42,4102.46,0
3,827,19,563.72,0
9,205,34,2961.98,0
4,742,21,1001.44,0
5,51,35,2576.11,0
9,155,32,1216.62,0
7,637,43,1160.64,0
7,25,16,332.15,0
2,583,19,860.49,0
2,274,11,932.09,0
2,952,48,1603.09,0
5,754,19,1220.84,0
5,404,50,4884.97,0
9,141,31,1995.98,0
6,343,32,355.12,0
3,127,47,2870.70,0
3,350,17,325.63,0
10,207,32,2388.99,0
9,555,24,471.87,0
7,803,14,733.53,0
2,802,49,4375.53,0
3,613,25,772.21,0
1,511,17,254.92,0
2,743,49,2848.72,0
6,683,34,913.52,0
5,780,38,144.87,0
10,247,18,766.62,0
4,966,48,4044.82,0
5,182,47,2274.64,0
2,679,1,81.91,0
4,49,49,4010.53,0
4,761,45,3155.15,0
8,967,25,1734.15,0
1,371,14,413.50,0
4,421,46,3762.43,0
3,463,45,2639.35,0
4,673,35,3275.98,0
10,956,42,3751.01,0
8,239,10,570.52,0
1,256,21,333.87,0
6,323,29,1136.81,0
2,286,17,743.23,0
3,609,47,3199.95,0
7,809,24,321.06,0
2,316,7,496.74,0
10,213,38,2511.69,0
6,3,22,1959.14,0
6,874,13,161.11,0
8,482,8,648.00,0
3,769,39,2498.15,0
2,832,38,1496.73,0
4,583,13,588.76,0
4,944,33,2103.22,0
4,946,29,1487.96,0
8,951,11,1011.19,0
8,341,49,2235.24,0
7,388,35,673.56,0
5,563,31,2535.09,0
4,771,4,265.40,0
9,160,23,1637.84,0
8,962,37,2488.75,0
4,176,49,2969.76,0
4,692,41,510.22,0
4,963,27,719.07,0
7,714,24,2073.91,0
7,288,3,187.32,0
10,783,6,453.29,0
8,333,5,371.98,0
8,665,28,150.55,0
7,749,5,148.56,0
9,431,36,1817.95,0
3,832,44,1733.05,0
8,283,29,1325.82,0
6,270,33,3259.51,0
3,166,8,316.36,0
1,697,46,1709.94,0
2,899,27,1507.76,0
2,381,27,505.76,0
4,986,46,2594.58,0
3,789,37,2235.97,0
7,328,27,802.52,0
9,690,7,213.66,0
10,755,18,1342.37,0
1,11,35,1065.84,0
4,578,45,3752.78,0
1,587,7,562.53,0
1,644,14,1054.77,0
9,974,38,838.31,0
5,948,30,1521.09,0
5,373,25,2441.94,0
7,308,41,1949.43,0
5,613,19,586.88,0
8,933,29,521.51,0
7,152,44,2220.66,0
4,504,48,3395.01,0
8,582,27,499.01,0
6,85,22,290.30,0
2,330,35,1608.39,0
1,886,41,1602.22,0
9,891,17,229.07,0
2,320,7,651.26,0
2,681,33,86.42,0
7,117,8,775.95,0
1,872,9,336.19,0
1,964,15,883.99,0
6,898,31,1386.84,0
6,564,25,456.69,0
6,466,8,225.92,0
1,294,26,168.83,0
3,297,12,867.21,0
5,117,3,290.98,0
8,761,6,420.69,0
6,586,5,382.78,0
10,634,25,1455.59,0
7,448,14,184.97,0
7,604,42,1240.70,0
5,740,26,429.33,0
3,223,2,93.94,0
2,658,7,265.64,0
9,602,5,220.78,0
3,764,2,25.44,0
10,470,20,1953.49,0
3,707,5,226.64,0
7,843,3,172.66,0
5,881,50,2388.02,0
6,453,29,519.85,0
7,996,41,3028.84,0
6,608,42,2774.81,0
7,780,44,167.74,0
8,182,49,2371.43,0
1,202,6,362.82,0
6,351,7,443.20,0
6,331,34,89.23,0
5,164,20,1633.04,0
8,790,10,834.51,0
7,283,19,868.64,0
4,692,35,435.56,0
9,217,6,327.09,0
3,254,11,101.78,0
6,165,5,202.16,0
3,582,42,776.24,0
9,11,44,1339.91,0
5,861,34,105.91,0
6,856,26,630.65,0
6,919,8,483.72,0
9,57,6,570.52,0
9,71,26,956.10,0
2,54,38,2605.09,0
1,58,48,804.22,0
7,351,36,2279.32,0
5,578,50,4169.76,0
3,244,20,443.55,0
3,538,49,3717.08,0
4,666,36,2277.71,0
2,255,10,400.53,0
8,78,16,1562.72,0
10,48,44,153.56,0
2,731,3,53.86,0
1,287,50,902.79,0
10,40,47,2650.67,0
3,119,21,1184.53,0
10,17,43,2519.42,0
7,461,49,4403.71,0
7,463,28,1642.26,0
9,517,31,1901.44,0
2,961,37,2823.74,0
7,531,40,3015.91,0
5,490,29,359.65,0
9,800,45,2944.20,0
3,940,8,62.40,0
1,728,24,615.35,0
3,913,37,872.69,0
4,431,39,1969.44,0
5,261,41,1288.99,0
7,34,50,2507.35,0
9,866,34,1744.27,0
2,481,9,479.13,0
5,128,21,1116.65,0
6,554,30,2513.94,0
9,342,27,1632.28,0
2,110,17,1498.66,0
5,959,16,262.58,0
7,653,50,997.56,0
2,496,15,208.40,0
6,941,45,1046.35,0
5,636,34,606.85,0
1,232,26,754.70,0
9,934,7,373.70,0
7,447,22,352.17,0
5,51,34,2502.51,0
5,808,21,101.87,0
8,137,41,3047.05,0
7,711,32,984.21,0
2,99,50,4082.25,0
1,841,21,1691.97,0
4,992,14,1290.95,0
10,746,25,1148.09,0
3,995,33,2675.63,0
4,461,14,1258.20,0
10,548,38,1661.99,0
5,13,38,2832.53,0
7,280,16,852.43,0
1,866,1,51.30,0
8,196,28,2069.51,0
10,61,15,326.73,0
4,296,21,439.78,0
1,828,6,250.28,0
8,239,2,114.10,0
2,107,20,387.96,0
3,745,18,773.22,0
4,80,11,32.87,0
4,633,5,295.92,0
1,344,2,88.55,0
2,156,7,685.64,0
8,83,39,2717.23,0
7,116,49,1776.62,0
7,964,22,1296.52,0
1,999,18,1411.51,0
4,128,39,2073.77,0
9,189,40,3338.93,0
4,534,8,580.77,0
8,42,35,1555.26,0
4,95,3,18.75,0
2,423,48,2836.20,0
10,627,45,963.80,0
10,473,19,1133.44,0
1,364,4,92.80,0
10,133,11,725.01,0
7,264,30,635.65,0
5,749,6,178.27,0
2,179,45,766.50,0
1,756,50,1947.85,0
2,607,32,2947.70,0
1,80,17,50.79,0
9,548,16,699.79,0
7,440,33,1968.71,0
6,53,14,1048.96,0
1,981,32,2057.74,0
4,904,37,2399.24,0
8,374,2,88.20,0
9,200,27,2097.45,0
7,234,40,2116.03,0
7,389,5,61.85,0
2,556,45,2419.71,0
5,832,29,1142.24,0
10,973,17,1014.48,0
9,960,46,3199.17,0
9,369,46,2406.67,0
8,477,12,876.73,0
4,709,18,796.23,0
3,139,5,275.75,0
8,574,17,1407.89,0
6,429,7,86.58,0
5,391,46,3167.80,0
4,976,26,1122.04,0
10,204,23,307.73,0
6,914,28,1200.13,0
2,52,39,1614.63,0
6,624,23,1754.64,0
9,200,35,2718.92,0
9,468,3,249.26,0
7,848,36,1719.90,0
5,118,36,1474.44,0
9,51,13,956.84,0
5,498,16,1597.01,0
9,352,21,43.79,0
1,174,24,458.23,0
10,238,28,482.65,0
9,42,23,1022.03,0
5,311,49,4263.03,0
4,952,14,467.57,0
7,702,50,760.38,0
5,549,10,56.55,0
9,911,37,1774.56,0
7,79,21,464.80,0
3,629,29,1869.19,0
4,200,33,2563.55,0
5,937,5,172.37,0
2,987,37,3324.46,0
7,875,25,2242.92,0
8,674,16,481.01,0
